completed_time,form additional_comments,form algae_quantity,form anoph_present,form barcode_recording falcon_barcode,form barcode_recording scan_barcode,form case case_id,form collection_date,form county,form culicine_present,form distance_from_site,form distance_to_nearest_animal_shelter,form distance_to_nearest_hse,form drainage_source | car_wash,form drainage_source | extra,form drainage_source | hotel_food_kiosk,form drainage_source | market_place,form drainage_source | other,form drainage_source | public_toilets,form drainage_source | residential_outlets,form drainage_source | salon_barber_shop,form drainage_source | unknown,form drainage_source | water_point,form geographical_information village_name,form gps_coordinates: accuracy (meters),form gps_coordinates: altitude (meters),form gps_coordinates: latitude (degrees),form gps_coordinates: longitude (degrees),form habitat_nature,form habitat_size,form interviewer,form other_breeding_site,form other_drainage_channel_source,form predators_present,form season,form shade,form site_code,form site_gps,form site_lat,form site_loc,form site_long,form site_photo,form subcase_0 case case_id,form subcounty,form sublocation,form transect,form type_of_breeding_site,form type_of_water,form vegetation_present,form water_appearance,form water_depth,form water_source,form_link,formid,hq_user,number,received_on,started_time,username
2025-07-30T10:25:34.776000Z,,none,no,TRK23227,TRK23227,53f39df23fdc421cafa5ba9bffabd101,2025-07-30,Turkana,no,818.4438020890328,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,NangordengoB,4.92,588.7,2.8949509,35.2645287,permanent,between_10m_100m,---,animal drinking calabash,---,no,dry_season,not_shaded,GP23,2.89445147 35.27188155,2.89445147,2.89445147 35.27188155,35.27188155,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/5bab3403-74d5-4379-b4a1-1fc4182d37a4/1753870567506.jpg,---,Loima,Lorugum,rural,Other (specify),flowing,no,clear,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/5bab3403-74d5-4379-b4a1-1fc4182d37a4/,5bab3403-74d5-4379-b4a1-1fc4182d37a4,gp23,5bab3403-74d5-4379-b4a1-1fc4182d37a4,2025-07-30T07:29:59.520900Z,2025-07-30T10:12:36.366000Z,gp23
2025-07-30T08:25:43.484000Z,No anopheles.,none,no,,,88b8ea2dd7a841bdb9bad02309d52de2,2025-07-30,Turkana,no,988.3634990734282,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,Natebus,1.81,587.79,3.7859817,35.4687472,temporary,less_than_10m,---,---,---,no,rainy_season,not_shaded,GP26,3.794058063 35.46502709,3.794058063,3.794058063 35.46502709,35.46502709,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/3bace4cc-561f-40c0-9d02-115399f149de/1753863645393.jpg,---,Turkana North,Kanukurudio,rural,Pit,stagnant,no,turbid_cloudy,between_10cm_50cm,rain,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/3bace4cc-561f-40c0-9d02-115399f149de/,3bace4cc-561f-40c0-9d02-115399f149de,---,3bace4cc-561f-40c0-9d02-115399f149de,2025-07-30T08:25:45.938720Z,2025-07-30T08:07:59.703000Z,gp26
2025-07-30T09:02:22.722000Z,,moderate,no,TRK99PP26,TRK99PP26,88b8ea2dd7a841bdb9bad02309d52de2,2025-07-30,Turkana,no,474.7465376689941,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,Kanukurudio,4.7,603.29,3.7929362,35.4691556,temporary,less_than_10m,---,---,---,no,rainy_season,not_shaded,GP26,3.794058063 35.46502709,3.794058063,3.794058063 35.46502709,35.46502709,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/b37524e1-cb5b-491e-a8a9-50bf949b86dc/1753866108807.jpg,---,Turkana North,Kanukurudio,rural,Water collection point puddle,stagnant,no,turbid_cloudy,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/b37524e1-cb5b-491e-a8a9-50bf949b86dc/,b37524e1-cb5b-491e-a8a9-50bf949b86dc,gp26,b37524e1-cb5b-491e-a8a9-50bf949b86dc,2025-07-30T09:02:26.095901Z,2025-07-30T08:59:09.724000Z,gp26
2025-07-30T09:59:48.097000Z,,scarce,yes,TRK26226,TRK26226,88b8ea2dd7a841bdb9bad02309d52de2,2025-07-30,Turkana,no,3488.778492277953,between_100m_500m,between_100m_500m,---,---,---,---,---,---,---,---,---,---,Nimwae,4.26,613.6,3.8086727,35.4372022,temporary,between_100m_250m,Ebei Loroti Carlmax,water puddles from seepage from water tank.,---,no,rainy_season,not_shaded,GP26,3.794058063 35.46502709,3.794058063,3.794058063 35.46502709,35.46502709,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/002111a2-f106-4973-bc0a-cee4f87698da/1753869439709.jpg,9f9f28f7-2e3a-4bea-98a0-cdecb02a7bb2,Turkana North,Kanukurudio,rural,Other (specify),seepage,no,turbid_cloudy,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/002111a2-f106-4973-bc0a-cee4f87698da/,002111a2-f106-4973-bc0a-cee4f87698da,gp26,002111a2-f106-4973-bc0a-cee4f87698da,2025-07-30T09:59:57.270280Z,2025-07-30T09:44:19.864000Z,gp26
2025-07-30T11:01:19.071000Z,habitat has been disturbed by the animals.,none,no,---,---,88b8ea2dd7a841bdb9bad02309d52de2,2025-07-30,Turkana,no,4955.1977246069255,more_than_500m,more_than_500m,---,---,---,---,---,---,---,---,---,---,kankunmeri,3.9,622.1,3.8284067,35.4365733,temporary,between_10m_100m,Ebei Loroti Carlmax,---,---,yes,rainy_season,not_shaded,GP26,3.794058063 35.46502709,3.794058063,3.794058063 35.46502709,35.46502709,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/15b9c9ce-324c-4c5a-ac60-1ec10092bc95/1753873070468.jpg,---,Turkana North,Kanukurudio,rural,Dam,stagnant,no,turbid_cloudy,between_10cm_50cm,rain,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/15b9c9ce-324c-4c5a-ac60-1ec10092bc95/,15b9c9ce-324c-4c5a-ac60-1ec10092bc95,gp26,15b9c9ce-324c-4c5a-ac60-1ec10092bc95,2025-07-30T11:01:21.348835Z,2025-07-30T10:49:49.387000Z,gp26
2025-07-30T10:37:30.655000Z,,scarce,yes,TRK5522L,TRK5522L,6ccf89dac2bf4ed0866405434a5a026f,2025-07-30,Turkana,no,1448.762541841607,more_than_500m,less_than_100m,---,---,---,---,---,---,---,---,---,---,Nadapal,3.33,288.9,4.3970221,34.2948779,temporary,less_than_10m,Mark Ingolol,---,---,yes,rainy_season,not_shaded,GP55,4.405343556 34.28482285,4.405343556,4.405343556 34.28482285,34.28482285,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/a55904b2-a297-4a9e-9def-5d0706cc05c6/1753871599942.jpg,4133db9e-80fb-4892-9524-d649f8b558d8,Turkana West,Lokariwon,rural,Tank,stagnant,no,turbid_cloudy,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/a55904b2-a297-4a9e-9def-5d0706cc05c6/,a55904b2-a297-4a9e-9def-5d0706cc05c6,gp55,a55904b2-a297-4a9e-9def-5d0706cc05c6,2025-07-30T11:34:52.845211Z,2025-07-30T10:21:17.856000Z,gp55
2025-07-30T15:28:35.159000Z,,scarce,yes,TRK5222I,TRK5222I,1fb22e772b6f4f69a1b3e917dbc67eb9,2025-07-30,Turkana,no,543.6108936177867,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,Aic Lokichoggio girls,4.71,700.4,4.2066222,34.3534432,temporary,between_10m_100m,---,Bucket,---,yes,rainy_season,partially_shaded,GP52,4.208459858 34.35798572,4.208459858,4.208459858 34.35798572,34.35798572,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/c9cf33b4-f52e-4155-99ab-bff7c68f9de8/1753889211268.jpg,4c4ccec3-a358-4720-8ccd-e09d70a1f9ad,Turkana West,Lopiding,urban,Other (specify),stagnant,yes,clear,less_than_10cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/c9cf33b4-f52e-4155-99ab-bff7c68f9de8/,c9cf33b4-f52e-4155-99ab-bff7c68f9de8,gp52,c9cf33b4-f52e-4155-99ab-bff7c68f9de8,2025-07-30T15:28:36.712351Z,2025-07-30T15:19:26.300000Z,gp52
2025-07-30T07:12:13.442000Z,the larvae is almost full in this habitat,none,yes,TRK15224,TRK15224,c60616a4aaaf4a9da3c430fa16b11b4c,2025-07-30,Turkana,yes,382.7033451383371,more_than_500m,more_than_500m,---,---,---,---,---,---,---,---,---,---,kangagetei,4.95,439.6,3.1440192,35.8656778,temporary,between_10m_100m,---,---,---,yes,dry_season,partially_shaded,GP15,3.141020014 35.86398695,3.141020014,3.141020014 35.86398695,35.86398695,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/625d31b4-4d9e-4b8e-8eae-790fd0718a7f/1753859357482.jpg,76d65025-cee0-48bf-aef1-69958518f5a3,Turkana Central,Kangagetei,rural,Ditch,seepage,no,turbid_cloudy,more_than_50cm,river,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/625d31b4-4d9e-4b8e-8eae-790fd0718a7f/,625d31b4-4d9e-4b8e-8eae-790fd0718a7f,gp15,625d31b4-4d9e-4b8e-8eae-790fd0718a7f,2025-07-31T04:46:48.210390Z,2025-07-30T07:01:32.189000Z,gp15
2025-07-31T07:44:41.332000Z,,moderate,yes,TRK1322I,TRK1322I,1870975fdde44900b58187d483d07246,2025-07-31,Turkana,yes,1979.136946332038,between_100m_500m,less_than_100m,---,---,---,---,---,---,---,---,---,---,bendera,3.2,541.7,2.0261317,36.1296133,temporary,between_10m_100m,Warren Esing'en,---,---,yes,dry_season,partially_shaded,GP13,2.011978021 36.11881447,2.011978021,2.011978021 36.11881447,36.11881447,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/a9d5b2f1-892a-4d78-ab72-d7f545f83623/1753947729161.jpg,c34a7fdd-e025-48b9-81e5-0474514cb59c,Turkana East,Lokori,rural,Tank,flowing,yes,clear,between_10cm_50cm,man-made,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/a9d5b2f1-892a-4d78-ab72-d7f545f83623/,a9d5b2f1-892a-4d78-ab72-d7f545f83623,gp13,a9d5b2f1-892a-4d78-ab72-d7f545f83623,2025-07-31T07:44:43.063766Z,2025-07-31T07:36:32.570000Z,gp13
2025-07-31T11:55:35.807000Z,saltwater,scarce,yes,TRK4622N,TRK4622N,913e11e774ae4fcb9ff68010adf1d8c6,2025-07-31,Turkana,yes,1243.9504436771406,less_than_100m,less_than_100m,---,---,---,---,---,---,---,---,---,---,Kerio,4.49,375.5,3.0058611,36.0480633,permanent,less_than_10m,Rabecca Akal,Spring,---,yes,dry_season,not_shaded,GP46,3.000638598 36.05797017,3.000638598,3.000638598 36.05797017,36.05797017,https://www.commcarehq.org/a/atsb-project-1/api/form_attachment/v1/f02e5068-4298-4ff4-9462-9814bc4a242d/1753962697635.jpg,c2db2622-5c96-4ed1-9b79-6d0dab09ea72,Turkana Central,Kerio,rural,Other (specify),stagnant,yes,clear,less_than_10cm,lagoon,https://www.commcarehq.org/a/atsb-project-1/reports/form_data/f02e5068-4298-4ff4-9462-9814bc4a242d/,f02e5068-4298-4ff4-9462-9814bc4a242d,gp46,f02e5068-4298-4ff4-9462-9814bc4a242d,2025-07-31T09:01:10.454675Z,2025-07-31T11:49:37.439000Z,gp46
