GoogleID,long,lat,Priority
24,35.40571075,2.918907832,1
39,34.55303759,0.542103489,2
16,37.72186834,1.414404361,3
15,37.33149119,0.990785793,4
21,36.91517701,2.089835469,5
18,37.79105277,1.579675591,6
37,35.90064078,1.171040261,7
4,39.7494589,1.998154914,8
42,35.86956993,-1.098331652,9
38,34.75247468,0.283176591,10
55,37.76653212,0.180696308,11
40,34.80509008,-0.127639562,12
56,36.11881447,2.011978021,13
49,39.64582053,-0.461641056,14
23,35.86398695,3.141020014,15
2,38.51767879,3.454072435,16
51,40.1061232,-1.833359362,17
1,41.61273342,3.963072351,18
41,34.61695127,-1.197018753,19
53,40.8771363,-2.272929719,20
10,39.57577571,0.845824844,21
32,35.83345891,3.747218517,22
25,35.27188155,2.89445147,23
20,36.69652204,2.826493751,24
11,40.05798796,1.732681017,25
30,35.46502709,3.794058063,26
14,37.98617753,2.33046548,27
17,37.55738614,0.768639176,28
52,39.83837315,-1.183901496,29
8,40.26058869,1.101784357,30
48,38.05949474,-0.933132374,31
9,40.96447063,0.997826727,32
50,39.01773423,-0.727261291,33
28,35.41294223,4.512725096,34
19,36.21644486,4.316648193,35
46,40.02820054,-1.50885711,36
13,38.03296372,2.246952826,37
44,36.92699042,-1.375145447,38
54,41.05039213,-1.150736525,39
43,36.32500592,-0.500689546,40
12,39.83857442,1.287637861,41
7,40.87332658,0.353931851,42
3,39.57463712,3.366466363,43
34,35.36280608,1.920951507,44
5,39.56348789,2.493487798,45
22,36.05797017,3.000638598,46
33,35.86021384,3.522972956,47
31,34.95941446,2.19700361,48
6,40.32459386,0.14946548,49
47,40.11117607,-2.27132459,50
26,34.9958552,3.677492399,51
27,34.35798572,4.208459858,52
36,35.75420916,1.215002696,53
35,35.09778471,1.258727542,54
29,34.28482285,4.405343556,55
45,38.08125066,-1.724712628,56
